"Instructions: for each of the following Facebook image files (column A), complete the following questions using the provided annotation scheme.   ","Check the box corresponding to each question for a 'Yes' response, and leave the box unchecked for a 'No' response.",,,,
facebook_dataset_houses_Dina Titus_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dina Titus_time1_63.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_mobile2_200.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_time1_180.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_time1_90.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_mobile2_145.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_time1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_time1_97.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Don Beyer_time1_94.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_608.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_553.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_585.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_554.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_483.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_378.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald McEachin_time1_379.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _time2_143.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _mobile1_447.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _time1_80.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _mobile1_470.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _time1_84.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _time2_93.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Norcross _time1_172.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_time1_470.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_mobile1_215.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_time1_547.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_time1_551.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_time1_379.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_time1_563.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donald Payne_time1_471.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_mobile1_63.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_mobile1_75.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_time1_14.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_time1_71.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_mobile1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_mobile1_102.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Donna Shalala_time1_36.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time1_154.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time1_146.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time2_17.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time1_164.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time1_187.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time1_165.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Doris Matsui_time2_20.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_mobile1_311.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_time1_12.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_mobile1_312.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_mobile1_338.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_time1_85.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_time1_145.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Drew Edmondson_mobile1_159.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_time1_315.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_time1_322.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_time1_183.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_time1_344.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_mobile1_97.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_time1_154.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dutch Ruppersberger_time1_339.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_time2_269.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_time1_181.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_time1_370.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_mobile2_59.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_time2_285.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_time1_189.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Dwight Evans_time1_452.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_mobile1_117.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_mobile1_126.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_mobile1_131.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_mobile1_129.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_mobile1_116.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_time1_75.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Earl Blumenauer_time1_87.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_mobile1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_mobile1_150.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_mobile1_161.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_time1_8.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_mobile1_138.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_mobile1_151.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Case_time1_11.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_mobile2_25.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_time2_31.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_time1_88.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_time2_28.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_time1_178.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_mobile2_66.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ed Perlmutter_time2_29.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_time1_97.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_time1_72.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_time1_26.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_time1_90.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_time1_70.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_profile1_0.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eddie Bernice Johnson_time1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_146.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_101.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_142.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_65.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_143.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Edward Markey_time1_59.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_time1_185.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_time1_283.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_time1_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_time1_419.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_time1_375.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_time1_358.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elaine Luria_mobile1_132.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_time2_115.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_mobile2_16.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_mobile2_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_time2_95.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_mobile2_14.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_mobile2_3.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elijah Cummings_mobile1_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time2_104.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time2_86.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time1_49.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time2_78.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time2_107.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time2_79.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eliot Engel _time2_65.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_time1_302.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_mobile1_201.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_mobile1_115.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_time1_38.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_time1_232.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_time1_306.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elissa Slotkin_time1_328.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_70.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_103.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_113.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_41.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_55.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Elizabeth Esty_time1_85.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_time1_634.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_profile1_3.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_time1_595.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_mobile2_32.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_mobile1_72.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_time1_513.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Elizabeth Warren_time1_594.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_104.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_91.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_133.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_147.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_126.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Emanuel Cleaver _time1_63.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_time1_526.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_time1_585.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_time1_361.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_mobile1_27.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_time1_619.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_time1_571.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Eric Swalwell_time1_545.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_mobile1_16.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_mobile1_3.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_mobile1_4.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_time1_0.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_time1_1.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_time1_2.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Erika Stotts Pearson_mobile1_27.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._mobile1_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._time1_46.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._mobile1_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._time1_43.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._mobile1_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._time1_44.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Filemon Vela Jr._mobile1_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_mobile1_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_time1_14.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_time1_3.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_mobile1_103.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_mobile1_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_mobile1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank McNeill_mobile1_47.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _time2_117.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _time1_114.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _time2_130.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _time1_133.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _mobile2_193.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _time1_172.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frank Pallone _time1_128.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_time1_299.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_time1_355.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_time1_214.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_mobile1_168.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_time1_2.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_time1_363.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Fred Hubbell_time1_344.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_81.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_90.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_86.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_92.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_100.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_88.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Frederica Wilson_time1_91.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_79.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_249.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_244.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_240.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_232.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_G. K. Butterfield_time1_193.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_time1_499.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_time1_436.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_time1_474.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_mobile1_127.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_time1_424.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_time1_439.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Peters_time1_517.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_time1_120.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_time1_16.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_time1_176.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_mobile1_16.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_time1_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_time1_3.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Gary Trauner_time1_4.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_time1_73.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_time1_52.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_mobile1_164.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_mobile1_200.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_time1_83.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_mobile1_192.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Gavin Newsom_mobile1_166.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_time1_81.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_time1_52.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_time1_84.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_time1_26.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_mobile1_33.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_time1_177.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_George Scott_time1_50.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_time1_29.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_mobile1_79.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_mobile1_78.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_time1_37.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_mobile1_73.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_mobile1_114.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gerry Connolly_mobile1_103.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_time1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_time1_82.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_time1_55.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_time1_35.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_time1_106.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_mobile1_4.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ges Selmont_time1_114.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_time1_211.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_mobile1_67.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_time1_336.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_time1_302.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_mobile1_79.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_time1_297.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gil Cisneros_time1_334.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gina Ortiz Jones_time1_96.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gina Ortiz Jones_time1_57.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Gina Ortiz Jones_time1_47.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
